sihatau,atau
bergunaa,berguna
tibatiba,ternyata
diuji,coba
sy,saya
gaada,tidak
cek,lihat
id,nomor
apl,aplikasi
menurutku,menurut
parahjaringan,lambat
klo,kalau
dah,sudah
ramutu,buruk
gd,tidak
nian,sangat
force,paksa
close,tutup
yng,yang
ijin,izin
liat,lihat
sulit percaya,sulit
dmanapun,dimanapun
gimimck,pura
aplikaai,aplikasi
trims,terimakasih
aj,saja
mendesak,desak
mendesakk,desak
mnt,minta
ampe,sampai
kendala,masalah
smartphone,ponsel
lalu,setelah
temu,cari
temukan,cari
gbisa,tidak
gjls,buruk
apkny,aplikas
yoi,iya
trs,terus
ya,iya
k, oke
feeling,perasaan
disaat,ketika
bandel,melawan
tbtb,tibatiba
diem,diam
anjlok,rusak
iyalah,iya
rame,ramai
gasi,tidak
bully,rundung
gedeg,kesal
dlu,dulu
mmg,memang
aware,waspada
mnrt,menurut
gajadi,tidak
pesen,pesan
test,tes
have,punya
good,bagus
gtu,begitu
twt,tweet
skrng,sekarang
cost,biaya
membersamai,bersama
sprti,seperti
ilang,hilang
inget,ingat
jkt,jakarta
situ,disana
reply,balas
gk,tidak
value,nilai
jgn,jangan
lo,anda
but,tapi
yak,iya
wkwkwkwk,ketawa
klu,jika
mw,mau
gamau,tidak
elu,anda
taun,tahun
emng,memang
plan,rencana
better,bagus
by,dari
ttp,tetap
ancur,jelek
jdi,jadi
free,gratis
tp,tapi
life,hidup
mesti,seharusnya
just,hanya
happy,senang
tolol,buruk
living,hidup
ae,aja
lgsg,langsung
gmn,bagaimana
pgn,ingin
so,jadi
ntar,nanti
real,nyata
gabisa,tidak
udh,sudah
gue,saya
indo,indonesia
indon,indonesia
yuk,ayok
konoha,indonesia
kemaren,kemarin
gampang,mudah
join,ikut
wah,wow
pengen,ingin
bgt,sangat
us,amerika
gausah,tidak
kmrn,kemarin
allah,tuhan
emg,memang
that,itu
usah,tidak
tdk,tidak
blm,belum
ngga,tidak
to,kepada
cepet,cepat
gini,ini
temen,teman
for,untuk
emang,memang
you,anda
tu,itu
bs,bisa
nggak,tidak
w,saya
ni,ini
lg,lagi
info,informasi
org,orang
skrg,sekarang
sm,sama
sana,disana
in,dalam
tuh,itu
tau,tahu
sampe,sampai
wkwk,ketawa
bener,benar
jg,juga
lu,anda
yap,iya
wish,harap
me,saya
luck,beruntung
monggo,silahkan
mon,mohon
maap,maaf
kainginan,keinginan
finally,akhirnya
we,kita
gonna,akan
die,mati
poverty,kemiskinan
unjustice,ketidakadilan
even,bahkan
taneman,tanaman
australi,australia
apkh,apakah
kacaw,kacau
or,atau
pny,punya
aje,saja
thai,thailand
psangan,pasangan
singapor,singapore
shock,kaget
rekomen,rekomendasi
jamjam,waktu
moga,semoga
